cell_line,position,cell_label,Dox (ng/ml ),CHIR (uM),CFP_intensity,lnCFP,int_ratio mean,int_ratio std,int_ratio CV,int_diff mean,int_diff std,int_diff CV,barcode_number sum
11,1,22,100,2,1143.004219131123,7.04141535506632,0.8420473315370195,0.1134359979913728,11.66661923681311,-2.338038353841945,1.815554446515684,-67.24937895277442,4
11,1,23,100,2,1150.3621469258323,7.047832082153722,0.8633888349872535,0.1380947630125244,13.059457949258215,-2.020376140776086,1.948621338878265,-78.74982428300429,3
11,1,24,100,2,578.731444050844,6.360838542771271,0.6440049886243536,0.055382456509208235,7.021620512558396,-5.4583929537816,1.1808511658796328,-17.66382427372262,3
11,1,25,100,2,527.7901610244706,6.26869878241095,0.6473811114361129,0.10620463692929229,15.56340823828336,-5.312427753506533,1.6815838874477171,-30.029406936207533,10
11,1,26,100,2,556.487022578603,6.321643850728692,0.6110952251696004,0.015868231593231176,2.3704402721950864,-6.094762338446491,0.2645376608400869,-3.962233912380871,6
11,1,27,100,2,518.9572877311592,6.251821582536817,0.6866488161565905,0.14225537872700347,19.532496688512975,-4.554588176198595,1.8905078787223968,-39.13389865973001,9
11,1,28,100,2,531.6182229767968,6.275925605741398,0.6620042090839415,0.055737047744231286,7.875665046667818,-4.796479113230243,1.0998152930948086,-21.44871226554635,8
11,1,29,100,2,691.8158438826218,6.53931979864414,0.6577870584652108,0.060302823277720415,8.643229794124476,-5.134823488465178,1.054505517548795,-19.36186002452729,9
11,1,30,100,2,494.52809160305344,6.203603957544401,0.7325550258678033,0.06441573898308668,8.225376151950089,-4.18489636903497,1.1356439023093556,-25.38408374494851,8
11,1,31,100,2,1175.154002624672,7.069154484053404,0.7607598470439259,0.16202791452576124,18.444755023121097,-3.935800508087894,2.8668121349476854,-63.080741303841336,4
11,1,32,100,2,838.6324637681159,6.731772545850144,0.6844760469994413,0.0802373987801807,11.052036864489684,-5.045830415528895,1.411486263441111,-26.373498545366253,9
11,1,34,100,2,439.1354994815071,6.08480802030643,0.716957481793684,0.13390109967825858,13.206135369974263,-4.319528540123891,1.497944634375988,-24.521352248754553,2
11,1,35,100,2,549.287443463278,6.308621880927056,0.6748984039599666,0.11607644488483967,16.398697498903474,-4.916674061667146,1.6139862783119907,-31.2991163665709,11
11,1,37,100,2,1419.916694772344,7.258353483221131,0.8477525046926186,0.08005410689404992,8.620330407772204,-2.1389525662503446,1.1053881070358762,-47.176205975342675,6
11,1,38,100,2,714.9610934093577,6.572228126401381,0.6341512126346532,0.10257655437704244,14.766060939430293,-5.491095679024906,1.2101427074076267,-20.118099598331092,6
11,1,39,100,2,2420.049476785533,7.791543263894437,0.8611290744838718,0.10514389214778005,8.633776438520975,-2.0168126427887754,1.319490967264147,-46.26215598176376,2
11,1,40,100,2,486.4490556197146,6.187132180047807,0.657771482285269,0.1362126004045409,19.172063048199885,-5.252909409981031,2.082211696631039,-36.69877567390762,7
11,1,41,100,2,3542.620499513461,8.172621986374741,0.7776690157702761,0.05941804514921631,5.402671547643416,-3.022378113230592,1.3819972854325304,-32.33280600573838,2
11,1,42,100,2,3363.4069444444444,8.12070971079617,0.8691863956734318,,0.0,-2.169079331180686,,-0.0,1
11,1,43,100,2,1464.2887805538628,7.289124929545832,0.7932283247226796,,0.0,-3.141932811877062,,-0.0,1
11,1,44,100,2,454.5792191127948,6.119372197907241,0.649190905212259,0.08562573535144272,12.512760785619397,-5.379613461605466,1.380211424357764,-24.33973249959031,10
11,1,45,100,2,531.7459223071468,6.276165785611164,0.7247328158937418,0.10413849045137923,13.547435443942001,-4.201925333971499,1.4403683236159925,-32.31833435341021,9
11,1,46,100,2,466.62540324315023,6.145526801403998,0.6728757874247062,0.11112995292320775,15.076676153333162,-4.817098983558144,1.6635998857932917,-31.526277095478246,6
11,2,3,100,2,647.0966219206373,6.472495621713692,0.5847661675616694,0.0322241251597904,4.772319698226162,-6.025296912311784,0.5561016209841944,-7.992936080443518,4
11,2,4,100,2,816.9034432007436,6.705520903298842,0.7003010727956123,0.10799147643095978,13.792712401608387,-4.5411878508977725,1.838729389070758,-36.21540478996959,5
