No,cell_line,position,cell_label,lnCFP,int_ratio mean,int_ratio std,int_ratio CV,int_diff mean,int_diff std,int_diff CV,mout avg mean,mout avg std,mout avg CV,barcode_number sum,BMP(ng/ml)
5,14,5,19,8.616622816218214,1.1136282151880679,0.08136228619245091,5.166160798988624,1.3512796811497285,0.8485337314266912,44.40264764780805,8.282888124522287,2.5799055850190147,22.024548763215442,2,64
5,14,5,20,8.452426224824752,1.0802946577306551,0.060221528869668896,4.827698950712981,1.023622196384814,0.5884044184051421,49.78137205675591,7.520450355173441,1.3808334598026737,15.901133550626238,4,64
5,14,5,21,8.375423704797896,1.2367413072416247,0.14685159380815108,9.695141865647795,2.8419168598374434,1.143108041320292,32.84205180521697,10.796858753802894,1.1336951380312725,8.57340292324268,3,64
5,14,5,22,7.7690377751447555,0.8660051063004177,0.05132549537077687,4.1908073705797735,-1.80081040051087,0.5002563027639366,-19.643079799813435,0.7620833679793577,0.07741991095078161,7.183484948281821,2,64
5,14,5,24,8.611393197368184,1.2196973698268725,0.13093672382252003,9.296939710110635,2.604653379122429,1.4984784655572634,49.823152232015936,10.353134627489418,2.391951289208693,20.00834197180717,4,64
5,14,5,25,8.565959898181678,0.8683911171605898,,0.0,-2.0968756352983244,,-0.0,0.6161793525620851,,0.0,1,64
5,14,5,26,7.882312515087257,0.8600247548026737,0.10789285952809231,11.614709624952965,-2.1984856368961148,1.7661292739664987,-74.37474019359044,1.6516471912422488,2.139034816231197,119.90220656571604,7,64
5,14,5,27,8.337671898767642,1.094181173221546,0.006800444687129948,0.43947388888037275,1.402931485499518,0.12191170365599896,6.144604583485296,8.511963906720435,0.39090890844751913,3.247362688782493,2,64
5,14,5,28,8.152811113062597,1.0291648477869262,0.03325349886959462,2.2847432653216386,0.4323273701739394,0.49651826887904205,81.2096247263088,6.2977391930287965,1.0503109987229633,11.792835600018577,2,64
5,14,5,29,8.271291466762417,1.1253542538124754,0.17386198791260915,13.379688909042214,1.33976369003783,1.8280447695805715,118.1651078831181,7.852896313885211,4.653794971130054,51.32252493741264,4,64
5,14,5,30,8.551816602109533,1.044873256087401,0.08223969057664825,5.565482947394631,0.6603058351156101,1.1863187475276338,127.04022687890533,6.563281650718693,4.66050256298675,50.21075037461411,2,64
5,14,5,32,8.650381554372043,1.0327560139386653,0.08611009342719946,7.611420310056492,0.435440212637527,1.2088540227135298,253.4280626650298,6.19717953925933,3.7706713833588905,55.54359475202249,6,64
5,14,5,33,8.348694112270252,1.0753654095256524,0.17993950911315443,14.966335002069203,0.7479452282024786,2.102688123709434,251.449084922724,6.090528549439378,3.9893982166753466,58.5864791824915,5,64
5,14,5,34,8.610733137037252,0.9812028017406089,0.07198210396378371,6.561615084708169,-0.2478851306980882,1.0663413647705056,-384.7607594907894,4.075615911802688,2.877915596178405,63.15820769985544,5,64
5,14,5,35,8.52023158032153,1.2395608793914774,0.15012421031090284,10.488502986327262,2.703537190247712,1.5733912748547292,50.4005204378983,10.60512070185926,2.6239233169498233,21.42723608664337,4,64
5,14,5,36,8.421120171251776,1.1426743672730995,0.11150775364109243,7.967772989618771,1.929496322374062,1.481337241577949,62.68510485996267,9.641872083120264,3.14157189475189,26.60357541243643,3,64
5,14,5,37,8.57421784408069,0.8447825929799739,0.321057543970408,26.873419075995958,-2.062577731976118,4.485454634291113,-153.77337491048775,4.248740043930063,5.062174277472819,84.2484530034491,2,64
5,14,5,39,8.514965377297793,1.133446058376146,0.08035266722890486,6.139458562480232,1.673257049705684,0.9764504170712538,50.538013084621845,9.558770934252918,2.4538118933127753,22.231555189823602,4,64
5,14,5,40,8.52799594995371,1.1226011881347822,0.11118168348186694,8.858348084643973,1.4829967976583966,1.0578166838060898,63.79919407671354,9.16527009630704,2.4048005993395494,23.468146845436188,5,64
5,14,5,41,8.565626090206974,1.1499092096738013,0.19166364663755645,13.609136343215955,1.9405269170558397,2.3016278478357246,96.84334970097363,8.505132419803367,3.0385103030267904,29.169837118096286,3,64
5,14,5,43,8.2746879447902,1.2522463549236449,,0.0,2.71456207170818,,0.0,11.95180927288311,,0.0,1,64
5,14,6,1,8.262273326333638,1.0336789434528737,,0.0,0.5395631007015972,,0.0,5.759654846715925,,0.0,1,64
5,14,6,2,8.184134326581843,1.0527566055563518,0.15242342789850455,10.237849747024185,0.7569550065583016,2.2624980410079467,211.35043607044008,6.112850848864566,5.00043537401804,57.8427619006934,2,64
5,14,6,3,8.53255485462812,0.9464346805030961,0.16467928480901628,14.207010348005216,-0.7107595957603277,2.2128605112524182,-254.2059301464346,3.7189493068729007,5.157388382465705,113.23063675585455,3,64
5,14,6,4,8.412747213622374,1.1088321766279894,0.23244526979314745,14.823129233614832,1.038861454539618,2.724383654222347,185.43667666523683,7.375147281286873,6.472171611870583,62.05322092168728,2,64
5,14,6,5,8.404188448953791,1.0802098796167754,0.21847063277401843,17.515218249094684,0.8410090088578533,3.2421629589482936,333.86033396613925,7.9074884334643185,5.231185173979348,57.291759459227755,4,64
5,14,6,6,8.636405295733745,1.0210437018077585,0.07127764963258831,6.372625788135126,0.2797189484746989,1.0249065463124678,334.4812342359831,5.108584099789933,2.8035047986572423,50.096817053531936,6,64
5,14,6,7,8.574591028616576,1.2486313028826608,0.2244397575588681,16.641488825112816,2.761601515774569,2.315864695629932,77.63879297286911,9.612690552618949,4.003664720277323,38.560205912101516,7,64
5,14,6,8,8.010036526973657,0.9398435603228272,0.01695724999874084,1.275806631080876,-0.8691334837244331,0.1047971856871263,-8.52605520743322,1.9873964955106511,1.4106308346218719,50.18961395801753,2,64
