No,cell_line,position,cell_label,lnCFP,int_ratio mean,int_ratio std,int_ratio CV,int_diff mean,int_diff std,int_diff CV,mout avg mean,mout avg std,mout avg CV,barcode_number sum,CHIR(uM)
6,10,1,114,7.989303596,0.601266057,0.076982724,11.08810211,-6.408236521,1.328525162,-17.95402738,0.359681631,0.222307827,53.526288,4,3
6,10,1,115,9.460614995,0.561734577,0.017042683,2.713637252,-6.704443895,0.623934939,-8.323798116,0.413356854,0.231674112,50.12995995,5,3
6,10,1,116,9.40899547,1.375299824,0.2677121,16.85781351,3.716619177,2.34730029,54.69545263,10.27280784,3.254642255,27.43751188,4,3
6,10,1,117,6.629009952,0.573529141,0.070091004,11.15619687,-6.484934761,1.22856117,-17.29420291,0.444724576,0.115828527,23.77572555,6,3
6,10,1,119,7.378821701,0.589620487,0.043092596,5.167911802,-6.41628265,1.034780892,-11.40380849,0.423089518,0.197816581,33.06095763,2,3
6,10,1,120,8.937395962,0.520000752,0.071435362,9.713914579,-7.837353181,0.616975565,-5.566517108,0.231689745,0.230382769,70.31179475,2,3
6,10,2,1,8.452066872,0.593865932,0.028513073,4.29438136,-6.16402799,0.955902068,-13.87055353,0.465725218,0.259945592,49.92265757,5,3
6,10,2,3,8.541676966,0.552082363,0.058616387,7.507583525,-7.217548739,0.746658727,-7.315052082,0.262494987,0.035782516,9.639063849,2,3
6,10,2,4,8.165236786,0.587674739,,0,-6.168069328,,0,0.598912171,,0,1,3
6,10,2,5,8.214615142,0.532333229,0.028887251,4.430747567,-7.38313129,0.541306774,-5.986282963,0.342258452,0.155547165,37.10755064,3,3
6,10,2,6,9.218149221,0.627277905,0.027742869,3.127349233,-5.785707155,0.356063098,-4.351665659,0.531115518,0.03287017,4.376208107,2,3
6,10,2,7,7.94575201,0.563528869,0.043517335,6.687699561,-6.863870099,0.564549335,-7.123008721,0.392436889,0.245709549,54.22291273,4,3
6,10,2,8,8.835519498,0.584474631,0.01890601,2.952865086,-6.501400719,0.577738966,-8.112115054,0.424216533,0.103275617,22.22386478,6,3
6,10,2,9,8.988868149,0.584126918,0.032326696,5.052001616,-6.466911685,1.209891302,-17.07885696,0.443532162,0.280361564,57.70357665,6,3
6,10,2,10,9.30536828,0.589990606,0.045781622,5.486950956,-6.380544399,1.083599764,-12.00870479,0.445468431,0.170714739,27.09811536,2,3
6,10,2,11,7.92068204,0.61215279,0.096451445,14.09268999,-6.32432904,1.484495505,-20.99468792,0.344148464,0.083407018,21.67712841,5,3
6,10,2,12,8.429328155,0.600435544,0.031776693,4.583243532,-6.396235454,0.247762382,-3.354606286,0.342269197,0.245221954,62.04719671,4,3
6,10,2,13,8.139415448,0.580698175,0.032435365,5.171242848,-6.783935534,0.560153111,-7.644545062,0.318969657,0.106012244,30.77040854,7,3
6,10,2,14,8.147932057,0.962892775,0.076111906,6.454001141,-0.433391261,0.928707277,-174.9657605,2.671820918,1.699086249,51.92331956,3,3
6,10,2,15,8.729791071,0.843401476,0.131651878,11.03767762,-1.840407038,1.423288556,-54.68447841,1.082225836,0.092166227,6.021974496,2,3
6,10,2,16,8.654362853,0.624968395,0.093611647,12.22999282,-5.080412914,1.862016883,-29.92533174,0.71802148,0.25547405,29.05117658,3,3
6,10,2,17,8.764152869,0.770534254,0.141686376,16.4467896,-3.622008253,2.353023645,-58.10611632,0.508170885,0.214341823,37.72611936,5,3
6,10,2,18,8.93402364,0.575383663,0.03369979,5.072245943,-6.710993654,0.285773281,-3.68778356,0.342772799,0.128717316,32.52080255,4,3
6,10,2,19,9.189813023,1.045516402,0.126677021,9.892848577,0.624722125,1.924896587,251.5792891,6.296658528,3.841896711,49.81841583,3,3
6,10,2,20,7.681934622,1.017495692,0.084742229,7.449245664,0.230376081,1.318437895,511.8789661,5.259797669,2.940518791,50.00344363,5,3
6,10,2,21,7.921091019,0.573104651,0.042128369,6.57484782,-6.960108872,0.408831489,-5.253797128,0.213213098,0.137875899,57.83882613,5,3
6,10,2,22,8.404134923,0.549516668,0.011430004,1.89878102,-7.222306598,0.226849952,-2.867293481,0.280490972,0.084648575,27.54927299,6,3
6,10,2,23,8.626581285,0.548809373,0.048558327,7.913838575,-6.633888265,1.141686913,-15.39302107,0.547889467,0.196504114,32.07921179,5,3
6,10,2,24,7.313462635,0.859333618,,0,-1.856793292,,0,0.916299836,,0,1,3
6,10,2,25,8.497854778,0.631217779,0.114454932,15.7031189,-5.570211188,1.674656529,-26.03662675,0.498016389,0.26133844,45.44543777,4,3
6,10,2,26,7.889190445,0.583189061,0.025215517,3.947006842,-6.254958535,0.984901584,-14.37400454,0.466999544,0.288644774,56.42305778,6,3
6,10,2,28,8.758448511,0.66594653,0.11401777,15.62940915,-4.959596905,1.562341074,-28.75668679,0.563477215,0.272347494,44.12212306,6,3
6,10,2,29,8.708648163,0.612011628,0.018193308,2.427204452,-6.233444083,0.644732261,-8.445117648,0.311135782,0.193058268,50.6632231,3,3
6,10,2,30,8.496332279,0.558051179,0.03022748,5.014810426,-6.882076902,0.717822103,-9.656592636,0.430543015,0.158497386,34.08255644,7,3
6,10,2,31,8.626957884,0.587751715,0.08233661,12.7881715,-6.287669408,1.168575687,-16.96588519,0.526861629,0.133320016,23.09979704,6,3
6,10,2,32,8.641768552,0.578482551,0.03246776,5.123555509,-6.402849462,0.62797756,-8.953239674,0.475370083,0.233555938,44.8506192,6,3
6,10,2,33,7.96594184,0.581458016,,0,-7.443576236,,0,0.042958795,,0,1,3
6,10,2,34,8.361548052,0.58349957,0.026340489,4.179361177,-6.483620513,0.570701302,-8.149254497,0.408233424,0.195479903,44.33228954,7,3
6,10,2,35,8.23363129,0.587667366,0.036133969,5.612979607,-6.845188268,0.612144922,-8.163534468,0.279645446,0.193353792,63.1181586,6,3
6,10,2,36,8.695011622,0.57559459,0.031587243,5.009615503,-6.904070753,0.546698773,-7.228567534,0.292766473,0.18472792,57.59974708,6,3
6,10,2,37,9.019352355,0.947786569,,0,-0.706951243,,0,1.118304252,,0,1,3
6,10,2,38,8.772614678,1.180885498,,0,2.404023782,,0,10.97745335,,0,1,3
6,10,2,39,7.08363171,0.827893393,0.08982446,8.858793261,-2.594741268,1.311044563,-41.25511149,1.063864268,1.095340041,84.06536675,3,3
6,10,2,40,7.416657934,0.584808777,0.054675292,8.36223222,-6.31015452,1.080823651,-15.32003787,0.52212537,0.162129851,27.7736643,5,3
6,10,2,41,8.125567739,0.563197917,0.016575596,2.548817495,-6.936729094,0.460552519,-5.749830737,0.367935089,0.102871828,24.21340589,4,3
6,10,2,42,8.076873788,0.559194332,0.021928265,3.396034938,-7.044732989,0.12946324,-1.591521705,0.302615833,0.075466874,21.59709548,4,3
6,10,2,43,7.157108504,0.58336559,0.019580297,3.002088238,-7.013744893,0.49096211,-6.260989916,0.184571789,0.159050585,77.07525021,5,3
6,10,2,44,8.800578242,0.606071962,0.112367945,16.58300521,-5.93296286,2.007559503,-30.26507749,0.565693182,0.28354584,44.83191895,5,3
