cell_line,position,cell_label,Dox (ng/ml ),BMP2 (ng/ml ),CFP_intensity,lnCFP,stimulation time (Days),int_ratio mean,int_ratio std,int_ratio CV,mout avg mean,mout avg std,mout avg CV,barcode_number sum
12,2,86,500,256,5912.097959183673,8.684756032041452,5,1.2742432999059299,0.03817263029757662,2.445986737798842,11.984415559635314,0.004774167896642656,0.03252634010383228,3
12,2,87,500,256,2997.988371036613,8.005696799747954,5,1.2326768806884458,,0.0,11.97843624995926,,0.0,1
12,2,88,500,256,12013.074096829689,9.393750843756102,5,1.2840581568401364,,0.0,11.9784891409613,,0.0,1
12,2,89,500,256,14679.355760368664,9.594197415672038,5,1.2026609657817442,,0.0,11.959367791598195,,0.0,1
12,2,90,500,256,7426.777975954551,8.912847393046416,5,1.2172033611407806,0.06209148527997446,4.417733743420553,11.013156352256777,1.1919672731938842,9.373098011579943,4
12,2,91,500,256,2746.830331253844,7.9182029190817405,5,1.1261657953700475,0.05518750337366205,3.4651609942965074,10.024237078673991,1.1192701900787472,7.895299514298109,2
12,2,92,500,256,5518.768056872038,8.61590993626031,5,0.9056923287104568,,0.0,1.856298343124763,,0.0,1
12,2,93,500,256,2451.569727086291,7.804483803308175,5,0.97276564906339,0.07803705181401444,6.9474152764799175,4.383128409970174,2.585798125369288,51.09060598211449,4
12,2,94,500,256,7041.7977953840855,8.859618785213573,5,1.2820961433361615,,0.0,11.988330427258006,,0.0,1
12,2,95,500,256,7925.015506671475,8.977779555421355,5,1.2028921168619626,0.053291539333724866,3.8367386586738745,10.683317523634418,0.9288526905919371,7.5295901731514565,4
12,2,96,500,256,13000.04303742854,9.47270794700962,5,1.2872279091423977,0.10286789918386134,6.524974122632181,11.35678888932888,0.9764276484077437,7.0200286737507085,3
12,2,97,500,256,4837.156324582339,8.484082290800306,5,1.1163898501824905,,0.0,10.20987630915124,,0.0,1
12,2,98,500,256,4854.347981246939,8.487630073302249,5,1.1041295123157797,0.09739025927149497,7.201946223143622,8.888008435433727,3.230077406550691,29.67309468413928,3
12,2,99,500,256,9102.97318987565,9.116356363304384,5,1.197550273693789,0.042631379475233926,2.5172168701773305,11.191509055187524,1.109906140099248,7.012657133856143,2
12,2,100,500,256,2528.489840788476,7.835377502631197,5,0.9424720098526943,0.08286034045342539,7.178482115909571,3.388577849992131,3.0700395902160507,73.97430248592292,3
12,2,101,500,256,5424.299660029141,8.59864407514969,5,1.054548766340554,0.017970782180960057,1.2049951931079848,7.518816934866697,0.5033472021008191,4.733726369188091,2
12,2,102,500,256,3176.651165323459,8.06358282821696,5,1.166141009036648,0.05763042731073088,3.4945058649262797,10.698319913569321,1.653967692667099,10.931919972452743,2
12,2,103,500,256,7005.534397054311,8.854455743806271,5,1.2331248315791283,0.0006703689648789268,0.038440750589363394,11.897379051402481,0.11600240921863149,0.6894467246784227,2
12,2,104,500,256,11052.453362255965,9.310407706035848,5,1.2571533762866551,0.09522523195547031,6.184692956029767,11.319289373952175,0.6252677264641692,4.510256288678949,3
12,2,105,500,256,8692.172280868224,9.070178161804405,5,1.1507958611415932,0.12774384105342693,9.063502309717176,9.442400100558192,3.2283330470658953,27.91581448523314,3
12,2,106,500,256,14833.748555609052,9.604660171607408,5,1.3073081454762865,0.02114129278363468,1.1435063372080407,11.989783691706005,0.004115809431896224,0.024273304958609045,2
12,2,107,500,256,8818.697917351028,9.084629509684438,5,1.3161547978723034,,0.0,11.990574274732689,,0.0,1
12,2,108,500,256,3893.8308993082246,8.267148759028302,5,1.018622751305381,0.04617020607629554,3.700861320220216,4.970537229586928,1.5383118258616073,25.269428397804617,3
12,2,109,500,256,15055.796671057358,9.619518356889214,5,1.2462932305151553,0.06158375191096698,4.279337503358712,11.673761132124655,0.557982631221975,4.139429683711248,4
12,2,110,500,256,4930.238911731257,8.503142726659965,5,0.9277163606455757,0.045184510641386164,3.976754104445384,2.4995598194419966,1.3422656129105763,43.84593139615302,3
12,2,111,500,256,7148.219593468843,8.874618596773981,5,1.2258871004011092,0.040259171579799816,2.8441008402825343,11.604840366976987,0.6932249031070793,5.1732756129511985,4
12,2,113,500,256,13192.846629151494,9.487430039647666,5,1.2651711937792562,0.0932985797367823,6.021159170794944,11.530864855226989,0.7942524201242825,5.624074113843063,3
12,2,114,500,256,4947.844645640964,8.506707335614653,5,1.110545687850469,0.14116577762885765,10.378805306160945,8.454311701488834,3.4266975072773267,33.094199709631965,3
12,2,115,500,256,10734.163262460788,9.281186762464667,5,1.1492368617287234,,0.0,10.731735013018351,,0.0,1
12,2,116,500,256,10695.542648444864,9.27758235874687,5,1.2904278569149616,0.0493573558814018,3.123003901755765,11.868732197453218,0.09865607168517072,0.6786937633994943,3
12,2,117,500,256,7766.367099635672,8.957557779279448,5,1.2657983310531342,0.03570893335330052,1.9947908212242194,11.970770044647374,0.014480710295861836,0.08553675668659819,2
12,2,118,500,256,8218.571381497652,9.014151675074292,5,1.1439213988494568,0.012333941792730466,0.7624137365706875,9.818506360807755,0.7846551433531799,5.650910152410296,2
12,2,119,500,256,8724.934391361257,9.0739402274276,5,1.1641809782327779,0.04406941382165034,2.6767128083048255,10.481399592674103,1.3975852658376744,9.428531085208771,2
12,2,120,500,256,3959.229374955046,8.283804683026965,5,1.0248490580225935,0.0804062058225639,6.405957211510373,5.959908147646775,2.9755660009756677,40.764713246137944,3
12,2,121,500,256,10828.031121642967,9.289893524912086,5,1.2004556526101713,0.09707394482559563,7.003049390599571,10.924214977624333,2.098881728831291,16.639043633158046,4
12,2,122,500,256,9392.77517605634,9.147696074443116,5,1.2711617523225407,0.07190304408801401,3.999737245845737,11.92613353255362,0.07259737654155089,0.4304336951180575,2
12,2,124,500,256,10556.742252224609,9.264520010822327,5,1.1118082171176775,,0.0,10.431942242330932,,0.0,1
12,2,125,500,256,9810.42366159947,9.191200738334278,5,1.3280616955661315,0.028164431840916864,1.7315582836742907,11.988909030569276,0.0021837768932890145,0.014872465562404128,3
